case,modality,mask_type,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
BraTS20_Training_082,t1,perturbed,0.6197604442880708,0.5643259045762438,13.213031781875102,23.413831749929784,21.587033144922902,26.019223662515376,25.317977802344327,26.38181191654584,1690.3333333333333,14.510966767822621,0.3391120806406663,2023.589575764396,1.197154156437229,1785.0,220.0,274.0,109616642.0,1.907142499242706,28.0,3.8900222817474686,336.0,17.124316079372925,246.82689075630253,247.0,143.0,193.0,11.688073767693364,247.81017629102593,-0.16958598407921271,109616642.0,0.3197147094131771,486.3694729656569,29.717666669361222,18.06797117025749,-0.4001392996236467,2.2392001984808836,0.9925599128167365,0.38636275365724065,0.6924094423382612,1.446856400806413,0.5086735334050322,0.6971744987115797,0.6829561976452363,0.9883148526414941,0.9333509793314954,-0.08038266542112846,0.49543458008994823,0.4865966355874423,5.422727282935913,0.11855093579549628,3.6046249659585357,0.41502085215739487,0.209266446949265,10.845454565871828,2.609533787232619,0.8079400278244049,5.811535560258164,111.0436974789916,0.062209354329967284,20.589077670283803,570.690756302521,0.8368599204387637,29.978711484593838,89.14005602240897,2693.856582633053,3.127399297902582,0.03858556764857618,0.07837688936043627,2.337721172076695,0.004020705825851492,380.0069486455367,0.2955635392861167,0.9599192025473543,29.87776873239202,2.5771431561782285,77.26341745027491,0.09588070249932377,0.039743909251918,3.15129591478873,745.3660822517364,0.577486682140774,0.7200172376642964,0.628239974273408,0.7874250993340637,23.416830793427632,0.03212952985580832,26.147058823529413,0.19225778546712802,2.238267733564014,29.110294117647058,5565.963235294118,164639.8088235294,195.72405258052297,0.05598286305262846,45.13235294117647,0.33185553633217996,0.5936946100758022,17.75027973294641,0.03432223827012571,4.54502787511151,0.0761904761904762,5393.697610294117,3.7891370326495597,0.004033387419687362,19.365639282650193,0.01240202681479795,0.1448253254544599
BraTS20_Training_082,t1ce,perturbed,0.6197604442880708,0.5643259045762438,13.213031781875102,23.413831749929784,21.587033144922902,26.019223662515376,25.317977802344327,26.38181191654584,1690.3333333333333,14.510966767822621,0.3391120806406663,2023.589575764396,1.197154156437229,1785.0,226.0,405.0,176722368.0,3.4313623285595196,103.0,2.8366346860870553,633.0,56.80365008748598,307.0812324929972,296.0,162.0,471.0,42.470644188068604,314.64921377796645,0.5393090627521437,176722368.0,0.105011730182269,4705.24438167424,40.4553510623161,1017.2457521400797,51.47649114050283,18.581404611398025,7.065436291911732,0.44916845124785154,1.990503623268474,2.600379289803551,3.070623008275373,0.46660992231231224,0.39770326065502304,0.9834092079264761,0.9148775846112808,-0.07652975731093194,0.6180078354238281,0.3854772514581707,6.129711487476774,0.01899858526376263,6.292132758584365,0.4783358871542466,0.051652519576985585,12.259422974953548,4.039706071092428,6.41171022582744,6.202266054199354,233.19159663865545,0.1306395499376221,7.9547006253481785,187.44593837535015,7.684022314808278,53.969747899159664,24.328851540616245,726.6207282913165,1.2394092543895066,0.040491426613627944,0.2538277556787902,20.33622737855736,0.00971908551352415,159.6407574984342,0.10129417809780837,7.88301458163849,56.54737434079591,1.455132573836854,71.7851531366448,0.06150766033531326,0.03958741596902387,4.004691178478255,1259.6545322063785,0.7984784680314819,0.8828269769446242,0.16935883830730056,0.9134688753669238,53.428326973464806,0.03558284225472708,48.26441351888668,0.09595310838744867,9.501867522499198,82.17495029821073,235.89065606361828,5668.719681908548,11.65465708631272,0.037425751614105496,204.3200795228628,0.4062029413973416,0.6626910457586389,58.53732680871279,0.02622787928736382,5.401980824421305,0.28179271708683473,223.2973293440154,1.8555785315043154,0.00454898205225303,207.2901934114913,0.07209248474107226,0.6263829325883966
BraTS20_Training_082,t2,perturbed,0.6197604442880708,0.5643259045762438,13.213031781875102,23.413831749929784,21.587033144922902,26.019223662515376,25.317977802344327,26.38181191654584,1690.3333333333333,14.510966767822621,0.3391120806406663,2023.589575764396,1.197154156437229,1785.0,257.0,320.0,148345731.0,2.197951631877151,31.0,5.3048500783613575,418.0,20.71313356715235,286.93389355742295,285.0,137.0,281.0,13.515564374491431,288.28259070023694,0.42054450121972026,148345731.0,0.27182543605677567,775.7928288178016,49.134640842417156,41.44562418258074,2.108365661619694,3.0909283452074927,1.1592621145003372,0.45167063358291065,0.745284064695781,1.5194142012787635,0.599416101025126,0.68285752866383,0.6664767587846172,0.9922474682891539,0.9448030002465462,-0.10697352090278786,0.583686108461297,0.4946761387759885,6.975052170258161,0.10161900115007837,3.882697385499522,0.4996569226564663,0.20784132399172817,13.950104340516322,2.8182974617532155,1.0625476149269577,5.984110391832645,115.96358543417367,0.06496559408076956,19.548901913706658,485.20840336134455,1.3400246373059028,50.26162464985995,82.34453781512605,4043.5299719887953,1.7561203626625341,0.022815493722668712,0.09629238558908444,5.326307350739881,0.003092262851470994,325.1246774034587,0.2481816471262672,1.5815770888610794,50.67826171516101,2.4445694806926945,121.68442495493181,0.054222747970084,0.023286630447754784,3.4066617259087195,781.3045381716943,0.5939904417840811,0.733678086619263,0.5687887242118745,0.7980302801556397,40.758206355580576,0.018909956887947783,21.57471264367816,0.1239926014004492,5.098460827057735,57.12068965517241,3888.189655172414,180506.64942528735,86.32788506117504,0.032168751793400376,64.72413793103448,0.37197780420134763,0.631446169456504,35.90212898810199,0.023811380317239932,4.921808865749089,0.09747899159663866,3782.950356718193,2.1986320971782454,0.004384591146529579,32.01391355634284,0.01423072528785227,0.26036871567667524
BraTS20_Training_082,flair,perturbed,0.6197604442880708,0.5643259045762438,13.213031781875102,23.413831749929784,21.587033144922902,26.019223662515376,25.317977802344327,26.38181191654584,1690.3333333333333,14.510966767822621,0.3391120806406663,2023.589575764396,1.197154156437229,1785.0,369.0,471.0,319178029.0,2.7991993360979097,50.0,7.825150094825542,602.0,32.124059035378856,420.5540616246499,422.0,110.0,492.0,20.82888866473724,422.86075808508326,-0.9281130587782429,319178029.0,0.1795639039929697,1945.5019793015242,179.89407952195532,400.1323747543902,-11.915905911445178,7.914005267113666,2.268370023974559,0.5507764801661934,1.1130677468421446,1.8883447079141251,0.9945199698041082,0.591075927657556,0.5525127829191662,0.9949500116830126,0.9515834452284582,-0.12253677488592446,0.6615621950615084,0.4814186214704689,13.35970174889699,0.04682014503864832,5.027442089480716,0.7916944102057142,0.10729849304263722,26.71940349779397,3.4700663432406595,2.545593822772056,6.295690647311579,151.84929971988797,0.08506963569741623,13.380650770111965,320.52156862745096,3.247053801912922,181.084593837535,49.17254901960784,8788.741736694677,0.28600504808451443,0.006863728907158975,0.1344682519761974,24.21231487132667,0.0015716480871849016,243.48124961435363,0.16860213666888105,3.6150447942273067,181.30144195353324,1.912680338943185,344.9281243911282,0.012441540147948226,0.007111500665924878,3.70786572702053,1004.9250742458901,0.6924701207610311,0.8083602671837967,0.35872247739702673,0.8570759179084901,155.4254663060017,0.00627405824780786,28.41269841269841,0.1127488032249937,8.406824766943814,179.99603174603175,1356.3373015873017,244206.03174603175,7.623244528811673,0.012061475889053114,85.55555555555556,0.3395061728395062,0.6044087421428395,109.23010515078926,0.008733132789087453,5.4215888425453524,0.1411764705882353,1306.1636904761906,0.5512727324626467,0.004888492899585776,146.97097734975856,0.015043561837239693,1.177174438748107
BraTS20_Training_244,t1,perturbed,0.760019522551901,0.6441944534820264,33.71211060671916,52.33219631820341,57.688820407423826,62.177166226839255,61.18823416311342,68.19090848492928,36535.208333333336,39.773490859853304,0.33091521492158904,16090.70653504364,0.44041644400212965,36722.0,202.0,373.0,3156535762.0,3.4655751335346974,99.0,5.50510408733955,813.0,57.78994280900423,283.28516965306903,281.0,0.0,813.0,40.121404967887486,293.18530164226974,0.13757840645246827,3156535762.0,0.10541888392036883,5707.13375370059,147.44743566920857,4139.8524619817,37.53306084577706,31.26530037153237,2.3200617407203117,0.8614997765891125,0.9793691974139094,1.857424726022477,1.3383645291181854,0.6448453017305646,0.6154949606229132,0.997919603647435,0.9722300547210659,-0.3240526898151042,0.9405145833259273,0.4469103655753252,11.841059263213102,0.028499135439503796,5.758282342939655,0.8930953315910403,0.0755483101676035,23.682118526426216,4.37617168927861,8.39634052806317,7.541409413563469,2150.339415064539,0.0585572521939039,28.70828719125731,3871.192255323784,9.089346593172117,149.66633080986875,118.87086759980393,14181.42674690921,3.331411549626433,0.01963540290740375,0.046904169946615566,9.540853484626552,0.0006529214450759145,2556.3314248724896,0.10338088133797026,9.271366669178823,158.95521837171128,3.2851644553238724,441.0020834861422,0.0768303605661583,0.017089358904969928,4.802154584315719,13495.643382385315,0.5422462323937771,0.6732539286866392,1.0389476974905874,0.7635149844365701,126.17412251367028,0.01151354127776395,77.9107289107289,0.06380895078683776,23.94065363107132,227.72153972153973,94954.27027027027,12672162.382473383,899.8051483998707,0.017985176928316676,353.65683865683866,0.28964524050519136,0.5545906138166532,134.21647917199653,0.007629467880837005,6.639463629674246,0.033249822994390284,94049.74370841694,4.3395342291600745,0.0004852820252645842,293.47943979615377,0.013515201893850663,0.34682022345783664
BraTS20_Training_244,t1ce,perturbed,0.760019522551901,0.6441944534820264,33.71211060671916,52.33219631820341,57.688820407423826,62.177166226839255,61.18823416311342,68.19090848492928,36535.208333333336,39.773490859853304,0.33091521492158904,16090.70653504364,0.44041644400212965,36722.0,199.0,398.0,3440401807.0,3.6456506398723567,111.0,4.685969689611791,811.0,64.68173210658328,294.50087141223247,293.0,0.0,811.0,45.51775805004675,306.0845583311179,0.11544258308281283,3440401807.0,0.09223843278614842,6956.993586191243,156.11342417307827,5111.704894540409,46.226439461033415,36.69190602067296,3.5602807140902146,0.8225376754069414,1.2398639868308845,2.093915986198466,1.9939391769380639,0.5903092980199507,0.5485907173928862,0.9968758820079796,0.965266917267003,-0.26984140447763866,0.9204752541672805,0.438025923871535,12.158511615585127,0.020158481988833524,6.2171627314165185,0.8654064099151552,0.054295869494017705,24.31702323117025,4.51961718117237,10.063046683690791,7.583877562782277,2426.4589619301782,0.06607643815506177,25.526396305911696,3387.179728772943,11.070986988435113,162.51268994063503,89.41838679810468,11072.018490278308,3.0398698163500346,0.019304315055349814,0.07754333472276573,16.787412960707606,0.0008078844004112399,2457.0941318477703,0.09154194209975662,10.971408596976655,171.59748985773143,2.629730505802899,383.42663036726515,0.06603633509842578,0.01604322647485643,4.7618800484961135,16524.063047099633,0.6131055575249023,0.7310289786462109,0.7386386859454057,0.8106175954776914,143.85832410175954,0.011176473254176792,183.1024349286314,0.07686920022192754,17.524577523421183,235.63853904282115,36096.165407220826,5030873.102854744,351.59198238994037,0.01156256405411382,797.2821158690176,0.3347112157300662,0.5991672644369197,146.84319383251554,0.005365541404142331,6.287929393103105,0.0648657480529383,35858.4982682179,5.240669040322576,0.0004087638941668538,361.9479818805352,0.022281709070390773,0.22598187594475788
BraTS20_Training_244,t2,perturbed,0.760019522551901,0.6441944534820264,33.71211060671916,52.33219631820341,57.688820407423826,62.177166226839255,61.18823416311342,68.19090848492928,36535.208333333336,39.773490859853304,0.33091521492158904,16090.70653504364,0.44041644400212965,36722.0,558.0,1714.0,58816700938.0,6.071807596559929,586.0,2.7846796775330342,2161.0,350.2182813842055,1187.3941506453896,1239.0,0.0,2161.0,246.56161503861932,1265.5729022571197,-0.4185491728237037,58816700938.0,0.016855287309352505,191769.901940623,2716.1633605699462,3671158.766174684,-17068.467804300722,1145.5461945931806,47.488720947652105,0.9202901803309479,4.993894105438425,3.824711239380314,21.804387431562127,0.30481034608598945,0.2176153063509044,0.9939147266246526,0.9480463471216711,-0.2455165334382243,0.971104978887322,0.21129849765320333,49.411992659802664,0.0009263183302887727,10.634337177942237,0.9239301526999468,0.00602957187159117,98.82398531960536,7.026927962861752,298.2587288852083,8.613956689119883,7130.409019116606,0.19417267630076265,5.898163276310899,618.9598605740429,306.28153618417707,2612.3734001416046,15.141604487772996,45269.28326343881,2.1972839207744173,0.012847803131822934,0.34278839703314873,810.2136224150381,0.0007592477614857009,577.8218750137597,0.017076225059768767,290.23385276361745,2588.2543413448857,1.2981203155431904,3459.2496423530006,0.03581471858017745,0.008190468101917451,6.455854080098394,29320.698286197792,0.8659830577069966,0.9215268147788164,0.11909730353833434,0.9447274571688595,2430.6555045587174,0.005513675993918602,260.1905283328771,0.017806633474738372,246.36769976100103,2352.0796605529704,42.47454147276211,134253.5648781823,8.115835030495722,0.0022032220373953072,5902.038872159868,0.40391725103749443,0.6604972121268698,1505.5085769428856,0.001168745197097609,7.947689032950021,0.3979086106421219,36.158669391053586,0.39283659087328504,0.0006427747379450873,7473.665046867705,0.21277700604250802,1.7377218751961758
BraTS20_Training_244,flair,perturbed,0.760019522551901,0.6441944534820264,33.71211060671916,52.33219631820341,57.688820407423826,62.177166226839255,61.18823416311342,68.19090848492928,36535.208333333336,39.773490859853304,0.33091521492158904,16090.70653504364,0.44041644400212965,36722.0,363.0,853.0,14645664803.0,4.9588680589263525,267.75,3.179152181406762,1184.0,156.37405968073315,600.4492947007244,600.0,0.0,1184.0,110.69364637953541,631.5262133733319,-0.27249556927644136,14645664803.0,0.03668394969374106,38286.002671061826,678.5146879250234,151922.16008650346,-765.9844525642145,224.9616250206186,11.239717250606237,0.9046868702474332,2.2847192720822336,2.829885766827384,5.849603138991325,0.46854270973161655,0.4021111265164749,0.9952731565849428,0.9566436835674389,-0.2860600683134827,0.9662484010064045,0.35784646210696996,25.00140536169814,0.004544644435093679,8.482960349164184,0.9111775676173031,0.016313060488805913,50.00281072339629,5.908860949351835,59.050335567806194,8.491017828548,3681.5024236152717,0.10025332017905537,15.67910928556658,1347.1080006535592,61.09916770930502,663.3456783399597,46.04754642993301,28537.2564130494,2.2780476899529294,0.014250939335286227,0.14294991600261844,92.51101910882949,0.0008386869790111924,1090.501014742352,0.03592742556913119,61.27450774470848,667.7330100496604,1.8278444454515654,1193.1447045780112,0.04300716695302725,0.010457467953840246,5.749823791522322,22243.73141688699,0.7311580043604675,0.826509365586758,0.35496940479016864,0.8786891685070244,588.8168293578242,0.0072613816598466425,177.90884871550904,0.033855156748907524,66.87093370366314,636.1950523311132,1524.1476688867745,997293.9254043768,25.18457363952532,0.006328124722957757,1575.8551855375833,0.299877295059483,0.5665117050410812,353.71733867271394,0.003305352607143501,7.609277039884343,0.1431022275475192,1475.3153653129048,1.185298360434588,0.0006840527153729151,1125.0869296351038,0.06480900691851223,0.5528232259472193
BraTS20_Training_076,t1,perturbed,0.2958346217929744,0.2726289351942232,25.35448537169972,92.99997945426067,53.85164807134504,80.0,37.73592452822641,83.83913167489273,9693.75,27.51261374860559,0.14542878032760692,15118.021992023223,1.5595638418592621,10819.0,238.0,400.0,1185050955.0,3.3172282280105376,82.0,8.614565820129796,531.0,56.05430660976224,320.9545244477308,335.0,0.0,531.0,34.48571228533421,330.95957630778565,-1.9078636685934551,1185050955.0,0.11782090848602,6522.434386359949,176.67233872910305,9889.692819589398,-339.8781731119799,37.408235587097344,4.052243478955073,0.8012653143979382,0.9765005056387371,1.720883200148422,3.0752383118650033,0.6645788669785312,0.6425493009173959,0.9934164239913288,0.9614798801411417,-0.35744584718318456,0.9516096696769167,0.4659319821627622,12.973931056328372,0.030407625332364185,5.528612914839652,0.8988849385523814,0.06938830621742742,25.947862112656733,4.306425990198178,10.365119766513105,7.134590464070979,810.5313799796654,0.074917402715562,17.43339380766606,1274.7044089102505,10.152801774607855,189.0183935668731,65.96607819576671,10734.280617432296,6.793579592237355,0.037508967503608576,0.09720223354707995,20.16736958411071,0.0010027975703865164,1007.2574909505513,0.12083907379275768,8.593902097371448,193.5833174773226,2.1610144546358585,389.3446685748432,0.1305524368497775,0.027266272061855244,4.267467973213634,5377.198974051936,0.6419296695891106,0.7705176790119944,0.45894014603693145,0.82790053523622,162.7795091048326,0.017499733010643767,123.4735322425409,0.11883881832775833,6.594823074307958,212.3060635226179,3066.555341674687,543785.9807507219,124.5187706739517,0.0082839580180711,310.5572666025024,0.2989001603488955,0.5664309336872142,120.1243437497069,0.004059760195989519,5.860068421220984,0.09603475367409188,2958.126917401329,2.6497196323893215,0.001276439131839534,108.54120178409707,0.04573109303329693,0.2013227772227283
BraTS20_Training_076,t1ce,perturbed,0.2958346217929744,0.2726289351942232,25.35448537169972,92.99997945426067,53.85164807134504,80.0,37.73592452822641,83.83913167489273,9693.75,27.51261374860559,0.14542878032760692,15118.021992023223,1.5595638418592621,10819.0,257.0,518.0,2033694161.0,3.8977875074767265,90.5,13.130309439864293,1705.0,82.84896707335376,412.6247342637952,429.0,0.0,1705.0,44.03749829469785,433.56005275578116,0.5392327765537209,2033694161.0,0.0940782349975495,17715.148019328124,286.4190046282481,94141.08939058708,201.24134306557133,96.03418406435047,15.802350733628689,0.7154791812608754,2.217643940908538,2.769280269093348,10.809536926898447,0.5017700057424248,0.44347187055629245,0.9969440438571314,0.970585996234841,-0.21084273538598247,0.8988724972071979,0.3770958130108045,16.320214372214192,0.014717237063430763,7.118300952557451,0.8867895211152231,0.04881593424448693,32.64042874442837,4.841867149501086,27.959133699494785,7.00762762502917,1283.9745817543212,0.11867775041633433,11.13990255902736,1017.8324244384878,27.95428755905312,318.4741658193918,31.422774748128294,7258.599316018116,6.519601263795656,0.03573450205940779,0.21946775328705342,88.80792313390396,0.0012498570847763125,865.8504785047496,0.0924765588582554,26.09935936823666,327.4187835372467,1.5661587403732904,468.51129144059684,0.11050847536186789,0.02318768031079816,4.534525389807835,7295.192608474005,0.7782786392091782,0.8652441929084872,0.22683922831803469,0.9032774144280568,301.1286879344007,0.015027378107061052,187.27456978967496,0.07161551425991394,38.836515908733624,405.3942638623327,448.4906309751434,119763.3499043977,44.062479647073914,0.004657334100461727,971.6279158699808,0.3715594324550596,0.6325870503823787,279.06574220240134,0.0025307121442913545,6.326635018141125,0.2417044089102505,431.37350467409306,0.7509643592177604,0.0008680576388644891,2882.5813154312655,0.02769686638946142,3.5439017816233154
